Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Active Cases / Population,Recovery_Rate,longitude,latitude
Afghanistan,205612,7833,182621,15158,5045,192,1154211,28321,40754388,0.0004,88.8183,66.2385139,33.7680065
Albania,333322,3593,328153,1576,116287,1254,1941032,677173,2866374,0.0005,98.4492,19.9999619,41.000028
Algeria,271061,6881,182550,81630,5977,152,230861,5091,45350148,0.0018,67.3465,2.9999825,28.0000272
Andorra,46824,156,46457,211,604469,2014,249838,3225256,77463,0.0027,99.2162,1.5732033,42.5407167
Angola,104491,1923,102367,201,2983,55,1499795,42818,35027343,0.0,97.9673,17.5691241,-11.8775768
Anguilla,3904,12,3879,13,256336,788,51382,3373736,15230,0.0009,99.3596,-63.0750234,18.1954947
Antigua and Barbuda,9106,146,8954,6,91509,1467,18901,189943,99509,0.0001,98.3308,-61.9554608,17.2234721
Argentina,9723924,130017,9588858,5049,211343,2826,35716069,776264,46010234,0.0001,98.611,-64.9672817,-34.9964963
Armenia,445631,8709,434743,2179,149945,2930,3233258,1087919,2971966,0.0007,97.5567,44.6736646,40.7696272
Aruba,43568,236,42438,894,404873,2193,177885,1653068,107609,0.0083,97.4064,-69.98186415210564,12.51756625
Australia,10643918,16100,10546102,81716,408301,618,78835048,3024116,26068792,0.0031,99.081,134.755,-24.7761086
Austria,5544112,21187,5478623,44302,611480,2337,202576566,22342897,9066710,0.0049,98.8188,14.12456,47.59397
Azerbaijan,824232,9976,813942,314,80021,969,7369434,715465,10300205,0.0,98.7516,47.7872508,40.3936294
Bahamas,37476,833,36354,289,93569,2080,257839,643767,400516,0.0007,97.0061,-78.0000547,24.7736546
Bahrain,695766,1536,693064,1166,390007,861,10561336,5920088,1783983,0.0007,99.6117,50.5344606,26.1551249
Bangladesh,2036527,29431,1985578,21518,12130,175,15081406,89831,167885689,0.0001,97.4982,90.2934413,24.4769288
Barbados,103955,564,102435,956,360926,1958,777669,2700024,288023,0.0033,98.5378,-59.5250305,13.1500331
Belarus,994037,7118,985592,1327,105381,755,13646641,1446722,9432800,0.0001,99.1504,27.6971358,53.4250605
Belgium,4633112,33042,4579197,20873,397069,2832,36088595,3092881,11668278,0.0018,98.8363,4.6667145,50.6402809
Belize,69012,688,68310,14,167428,1669,576016,1397453,412190,0.0,98.9828,-88.7600927,16.8259793
